"","ID_EA","Nb_growers"
"1","1-16-379-9",1
"2","10-80-2677-18",1
"3","10-82-2683-7",2
"4","10-82-2686-7",2
"5","10-87-2959-10",8
"6","10-87-2971-14",2
"7","10-87-2977-2",2
"8","10-87-2989-11",4
"9","11-100-3365-2",10
"10","11-101-3211-3",12
"11","11-101-3214-8",10
"12","11-101-3371-1",12
"13","11-102-3286-10",2
"14","11-102-3302-16",5
"15","11-103-3175-2",13
"16","11-96-3158-3",6
"17","11-96-3161-6",13
"18","11-97-3190-1",1
"19","11-97-3200-5",14
"20","11-97-3201-3",10
"21","11-97-3202-1",12
"22","11-99-3268-12",7
"23","12-106-3390-5",1
"24","12-107-3433-3",1
"25","12-107-3442-7",10
"26","12-107-3457-1",2
"27","12-107-3469-7",10
"28","12-108-3526-6",9
"29","12-109-3490-17",5
"30","12-109-3562-3",8
"31","12-109-3565-3",7
"32","12-109-3568-10",5
"33","12-109-3577-10",9
"34","12-110-3618-22",1
"35","12-110-3628-2",9
"36","12-110-3634-4",13
"37","12-111-3602-3",1
"38","12-111-3613-18",14
"39","12-112-3472-4",12
"40","12-112-3481-8",1
"41","12-112-3503-5",5
"42","14-118-3709-11",4
"43","14-119-3751-3",2
"44","14-119-3766-5",13
"45","14-119-3778-3",5
"46","14-119-3796-1",4
"47","14-120-3814-16",15
"48","14-120-3850-8",5
"49","14-121-3859-12",14
"50","14-122-3943-3",10
"51","14-123-4030-11",1
"52","14-126-4171-14",12
"53","14-126-4180-3",14
"54","14-126-4195-19",4
"55","14-126-4198-35",1
"56","14-126-4219-16",7
"57","14-126-4222-8",1
"58","14-128-4056-7",2
"59","14-128-4058-1",14
"60","15-135-4345-6",1
"61","15-136-4378-4",5
"62","15-136-4381-2",3
"63","15-136-4399-7",4
"64","15-138-4537-8",4
"65","15-140-4672-2",1
"66","15-140-4687-11",3
"67","15-140-4693-13",1
"68","15-140-4699-17",2
"69","15-140-4711-15",2
"70","15-141-4714-19",2
"71","15-141-4726-13",4
"72","15-141-4747-6",2
"73","15-141-4765-7",1
"74","15-141-4768-3",1
"75","15-141-4780-1",3
"76","17-150-4852-3",5
"77","17-150-4855-4",1
"78","17-155-5128-2",2
"79","17-155-5128-3",2
"80","17-157-5266-8",1
"81","17-157-5272-4",2
"82","17-157-5281-7",3
"83","17-157-5284-4",4
"84","17-157-5320-2",2
"85","17-157-5344-1",2
"86","17-158-5374-1",5
"87","17-158-5386-5",3
"88","19-167-5587-5",1
"89","19-167-5599-12",1
"90","19-171-5845-13",1
"91","19-173-5917-3",2
"92","2-27-811-7",2
"93","2-30-961-9",4
"94","2-31-1006-7",8
"95","2-32-1036-3",14
"96","2-32-1057-1",15
"97","2-32-1081-3",14
"98","2-33-1102-6",15
"99","2-33-1144-6",14
"100","2-34-1186-11",4
"101","2-34-1189-8",9
"102","2-35-1228-2",3
"103","2-35-1246-6",2
"104","20-180-6010-1",6
"105","20-181-6085-5",8
"106","20-189-6631-2",5
"107","22-195-6799-2",1
"108","24-217-7402-16",1
"109","25-227-7918-17",1
"110","25-227-7921-2",3
"111","25-227-8281-17",1
"112","25-230-7987-1",2
"113","25-230-8008-6",1
"114","25-230-8041-4",3
"115","25-231-8071-1",2
"116","25-231-8125-3",1
"117","25-231-8143-7",3
"118","25-232-8197-10",2
"119","25-233-8248-14",4
"120","25-233-8260-2",5
"121","25-234-8302-1",2
"122","25-234-8311-6",10
"123","25-234-8335-2",1
"124","25-235-8374-6",5
"125","25-235-8380-11",5
"126","25-235-8407-5",4
"127","25-235-8428-11",5
"128","25-236-8461-5",8
"129","25-237-8497-4",4
"130","25-238-8632-10",4
"131","25-238-8647-3",5
"132","25-239-8689-15",5
"133","26-246-8767-9",2
"134","26-246-8785-12",1
"135","26-246-8815-10",1
"136","26-246-8833-12",1
"137","26-247-8896-1",4
"138","26-248-8914-19",3
"139","26-248-8917-4",5
"140","26-253-8779-6",5
"141","26-253-8821-2",2
"142","26-253-8851-5",3
"143","27-260-9322-18",1
"144","30-293-10771-8",3
"145","31-311-11485-11",1
"146","31-316-11869-2",1
"147","37-372-14392-4",1
"148","38-386-14950-9",1
"149","38-388-15046-6",1
"150","38-391-15199-9",1
"151","38-396-15655-1",1
"152","38-402-16204-3",1
"153","4-42-1290-11",4
"154","4-42-1318-9",6
"155","4-43-1321-11",6
"156","4-43-1360-4",10
"157","4-48-1537-4",3
"158","4-48-1573-4",11
"159","4-49-1618-6",6
"160","4-51-1654-14",1
"161","4-51-1699-4",1
"162","40-415-16741-10",5
"163","40-415-16771-12",3
"164","40-417-16840-10",10
"165","40-418-16900-6",4
"166","40-418-16904-2",1
"167","40-418-16912-9",4
"168","40-419-16941-14",4
"169","40-419-16987-5",1
"170","40-419-17032-1",1
"171","40-420-17077-22",1
"172","40-423-17284-11",5
"173","40-423-17302-5",2
"174","40-424-17350-11",1
"175","40-426-17599-8",1
"176","40-428-17797-1",3
"177","40-428-17800-4",1
"178","42-439-18184-2",6
"179","42-439-18199-7",5
"180","42-439-18223-4",11
"181","42-444-18505-6",1
"182","42-444-18550-4",1
"183","42-447-18799-11",4
"184","42-447-18838-5",3
"185","44-452-18934-8",5
"186","44-453-18958-9",3
"187","44-454-19012-11",1
"188","44-454-19024-9",4
"189","44-455-19111-8",1
"190","44-455-19114-23",1
"191","44-455-19117-1",10
"192","44-455-19120-3",3
"193","44-455-19156-3",1
"194","44-455-19168-11",8
"195","44-456-19213-3",3
"196","44-457-19255-7",5
"197","45-464-19375-9",7
"198","45-464-19378-1",11
"199","45-464-19402-12",2
"200","45-465-19441-16",11
"201","45-465-19468-4",14
"202","45-465-19480-1",15
"203","45-465-19483-2",12
"204","45-466-19495-2",2
"205","45-466-19519-4",1
"206","45-467-19561-3",7
"207","45-468-19603-6",4
"208","45-468-19621-12",5
"209","45-469-19648-7",5
"210","45-469-19657-4",8
"211","45-469-19678-9",1
"212","45-470-19699-6",1
"213","45-470-19729-3",1
"214","46-478-19954-5",1
"215","46-480-20011-9",5
"216","46-480-20017-3",1
"217","46-480-20035-1",2
"218","46-481-20044-3",1
"219","46-482-20155-3",2
"220","49-505-20488-5",8
"221","49-506-20500-25",1
"222","49-507-20580-9",1
"223","49-509-20650-19",5
"224","49-510-20702-2",5
"225","49-512-20779-4",2
"226","49-513-20833-9",4
"227","49-513-20848-5",1
"228","49-517-20983-10",5
"229","49-518-20383-4",1
"230","51-525-21157-4",5
"231","51-527-21193-8",5
"232","51-527-21217-9",2
"233","51-527-21220-17",2
"234","51-529-21322-6",2
"235","51-530-21334-7",6
"236","51-532-21373-6",2
"237","51-532-21379-20",3
"238","51-534-21475-1",2
"239","52-542-21609-2",1
"240","52-542-21625-1",2
"241","52-543-21637-10",1
"242","52-543-21646-18",3
"243","52-543-21649-2",1
"244","52-543-21652-1",6
"245","52-543-21661-7",3
"246","52-544-21727-13",7
"247","52-545-21742-20",1
"248","52-545-21748-11",1
"249","52-545-21751-14",1
"250","52-545-21772-12",8
"251","52-545-21778-7",1
"252","52-546-21787-1",12
"253","52-546-21787-8",5
"254","52-546-21799-1",1
"255","52-546-21801-1",1
"256","52-546-21802-8",1
"257","52-547-21814-1",10
"258","52-547-21814-12",5
"259","52-547-21820-11",1
"260","52-547-21820-3",2
"261","52-548-21892-22",1
"262","52-551-21997-8",2
"263","52-551-22000-5",2
"264","52-551-22009-1",1
"265","52-551-22009-8",1
"266","54-558-22084-13",6
"267","54-558-22087-10",4
"268","54-558-22111-24",1
"269","54-559-22132-9",1
"270","54-559-22141-6",1
"271","54-560-22183-5",1
"272","54-561-22216-4",13
"273","54-562-22285-21",4
"274","56-569-22468-9",1
"275","56-570-22465-8",8
"276","56-572-22546-13",1
"277","56-572-22552-10",1
"278","56-572-22603-1",1
"279","58-585-22819-17",8
"280","6-60-1858-4",1
"281","6-61-1933-1",1
"282","6-63-2005-2",1
"283","6-64-2059-3",1
"284","6-65-2092-4",1
"285","62-608-23293-33",5
"286","62-608-23314-1",5
"287","62-608-23320-1",3
"288","62-610-23350-6",13
"289","62-610-23353-5",13
"290","62-610-23374-7",13
"291","62-611-23392-3",4
"292","62-611-23395-4",4
"293","62-612-23401-5",1
"294","62-612-23427-2",12
"295","62-612-23437-1",6
"296","62-612-23443-3",12
"297","62-613-23455-5",10
"298","62-613-23473-7",11
"299","62-614-23494-8",11
"300","62-614-23497-4",15
"301","62-615-23515-8",1
"302","62-616-23527-3",1
"303","62-616-23539-1",13
"304","62-616-23545-2",5
"305","62-617-23407-9",12
"306","62-617-23419-7",15
"307","62-617-23449-5",12
"308","64-625-23638-30",1
"309","64-627-23728-10",9
"310","64-627-23731-6",9
"311","64-629-23800-13",6
"312","64-630-23824-14",8
"313","64-630-23845-2",5
"314","64-632-23888-2",2
"315","64-632-23914-2",1
"316","64-632-23926-4",1
"317","64-632-23932-1",5
"318","64-635-24031-4",9
"319","64-637-24091-4",11
"320","64-637-24109-5",2
"321","64-637-24112-6",14
"322","64-637-24115-3",14
"323","64-638-24060-12",6
"324","64-639-23983-12",9
"325","66-644-24331-20",4
"326","66-645-24184-4",4
"327","66-645-24207-9",6
"328","66-646-24221-7",13
"329","66-646-24223-17",1
"330","66-649-24313-20",4
"331","66-651-24397-11",1
"332","66-653-24487-11",7
"333","67-664-24709-6",3
"334","68-680-25081-19",1
"335","70-689-25213-22",1
"336","72-705-25489-11",1
"337","72-705-25498-12",1
"338","72-705-25507-7",1
"339","72-706-25525-2",3
"340","72-706-25537-8",3
"341","72-706-25543-26",1
"342","72-708-25609-6",2
"343","77-750-26590-13",1
"344","77-751-26647-6",1
"345","77-752-26677-10",1
"346","8-71-2233-6",5
"347","8-71-2299-12",7
"348","8-72-2221-15",1
"349","8-72-2275-5",2
"350","8-73-2326-1",4
"351","8-74-2422-19",1
"352","8-75-2446-1",2
"353","8-75-2452-9",5
"354","8-75-2464-11",1
"355","8-75-2488-6",1
"356","8-76-2542-11",1
"357","8-76-2605-10",2
"358","8-76-2623-7",3
"359","84-848-29437-5",1
"360","86-862-29830-10",1
"361","94-945-31621-4",2
"362","95-956-31855-27",1
"363","96-967-32086-12",2
"364","96-967-32092-13",1
"365","96-973-32245-3",3
