"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12B_C1","M4B12B_C2","M4B12B_C2_GHIRO","M4B12B_C3"
"1","09292002004","27","259","09292","002","004",3,"khoai tây đức",5,"",0
"2","09292002006","27","259","09292","002","006",3,"khoai tây bổ",6,"",4
"3","09292002008","27","259","09292","002","008",3,"khoai tây đức",5,"",0
"4","12010013001","33","325","12010","013","001",3,"khoai  đức",5,"",2
"5","12010013003","33","325","12010","013","003",3,"giống đức",5,"",3
"6","03511002012","12","108","03511","002","012",2,"địa phương",5,NA,0
"7","04747006006","15","141","04747","006","006",2,NA,NA,NA,NA
"8","07504004008","24","218","07504","004","008",2,"khoai kt6",5,NA,2
"9","11731007009","31","314","11731","007","009",2,"khoai tây hà lan",5,NA,3
"10","11731007012","31","314","11731","007","012",2,"khoai tây trung quốc",5,NA,2
"11","24949002003","68","677","24949","002","003",2,"Tk 15.80",3,NA,1
"12","01321011006","04","043","01321","011","006",1,"khoai tây",5,NA,0
"13","04399007004","15","136","04399","007","004",1,"eben",5,NA,2
"14","06577003003","20","188","06577","003","003",1,"khoai đức",2,NA,5
"15","06577003004","20","188","06577","003","004",1,"khoai tây đức",2,NA,3
"16","07366007013","24","216","07366","007","013",1,"Solada",5,NA,10
"17","07759013004","24","222","07759","013","004",1,"khoai tây Đức",2,NA,6
"18","07792003002","24","222","07792","003","002",1,"khoai tây úc",2,NA,1
"19","09448007014","27","262","09448","007","014",1,"khoai đức",4,NA,5
"20","13873005015","36","360","13873","005","015",1,"khoai hà lan",5,NA,3
"21","13888014002","36","360","13888","014","002",1,"Khoai tây lai",6,NA,7
"22","14206010008","36","365","14206","010","008",1,"khoai tây Hà Lan",5,NA,0
"23","14206010010","36","365","14206","010","010",1,"khoai tây mắt trắng",5,NA,0
"24","18388005009","42","442","18388","005","009",1,"khoai tây",5,NA,5
"25","01756006014","04","052","01756","006","014",4,"khoai tây đức",6,"",2
"26","06517008011","20","187","06517","008","011",4,"KT6",5,"",2
"27","11764009004","31","315","11764","009","004",4,"hà lan",2,"",5
"28","12595011003","34","339","12595","011","003",4,"khoai tây việt đức",4,"",3
"29","12910008011","34","341","12910","008","011",4,"KT 3",5,"",3
"30","16075002005","38","400","16075","002","005",4,"KT1",5,"",0
"31","16540014009","38","406","16540","014","009",4,"solara",2,"",3
"32","16540014015","38","406","16540","014","015",4,"marabel",2,"",3
